#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-12-16;Philippines;452988;8833;419282;1.95;92.56;5.49
2020-12-16;Pakistan;448522;9080;396591;2.02;88.42;9.55
2020-12-16;Pologne;1159901;23914;892650;2.06;76.96;20.98
2020-12-16;Palestine;115606;1048;90952;0.91;78.67;20.42
2020-12-16;Portugal;358296;5815;283719;1.62;79.19;19.19
2020-12-16;Paraguay;96209;2014;68658;2.09;71.36;26.54
2020-12-16;Qatar;141417;242;139042;0.17;98.32;1.51
2020-12-16;Réunion;8534;42;8037;0.49;94.18;5.33
2020-12-16;Roumanie;571749;13862;469499;2.42;82.12;15.46
2020-12-16;Serbie;282601;2482;0;0.88;0.00;99.12
2020-12-16;Russie;2708940;47994;2155842;1.77;79.58;18.65
2020-12-16;Rwanda;6954;57;6057;0.82;87.10;12.08
2020-12-16;Arabie Saoudite;360335;6080;351192;1.69;97.46;0.85
2020-12-16;Îles Salomon;17;0;5;0.00;29.41;70.59
2020-12-16;Seychelles;202;0;184;0.00;91.09;8.91
2020-12-16;Soudan;22082;1384;12753;6.27;57.75;35.98
2020-12-16;Suède;348585;7802;0;2.24;0.00;97.76
2020-12-16;Singapour;58353;29;58238;0.05;99.80;0.15
2020-12-16;Slovénie;100401;2190;77453;2.18;77.14;20.68
2020-12-16;Slovaquie;139088;1309;101584;0.94;73.04;26.02
2020-12-16;Sierra Leone;2460;75;1854;3.05;75.37;21.59
2020-12-16;Saint-Marin;2025;54;1694;2.67;83.65;13.68
2020-12-16;Sénégal;17336;352;16349;2.03;94.31;3.66
2020-12-16;Somalie;4579;121;3529;2.64;77.07;20.29
2020-12-16;Suriname;5401;117;5239;2.17;97.00;0.83
2020-12-16;Soudan du sud;3222;62;3043;1.92;94.44;3.63
2020-12-16;Sao Tomé-et-Principe;1010;17;955;1.68;94.55;3.76
2020-12-16;El Salvador;42397;1219;38481;2.88;90.76;6.36
2020-12-16;Syrie;9603;554;4548;5.77;47.36;46.87
2020-12-16;Eswatini;7026;135;6531;1.92;92.95;5.12
2020-12-16;Tchad;1800;102;1620;5.67;90.00;4.33
2020-12-16;Togo;3315;66;2852;1.99;86.03;11.98
2020-12-16;Thaïlande;4281;60;3989;1.40;93.18;5.42
2020-12-16;Tadjikistan;12815;89;12253;0.69;95.61;3.69
2020-12-16;Timor-Leste;31;0;30;0.00;96.77;3.23
2020-12-16;Tunisie;114547;3997;87884;3.49;76.72;19.79
2020-12-16;Turquie;1928165;17121;1691113;0.89;87.71;11.41
2020-12-16;Trinité-et-Tobago;6917;123;6230;1.78;90.07;8.15
2020-12-16;Taïwan;749;7;612;0.93;81.71;17.36
2020-12-16;Tanzanie;509;21;183;4.13;35.95;59.92
2020-12-16;Ukraine;945218;16314;555675;1.73;58.79;39.49
2020-12-16;Ouganda;28733;225;10070;0.78;35.05;64.17
2020-12-16;États-Unis;16973376;307429;0;1.81;0.00;98.19
2020-12-16;Uruguay;10893;102;7142;0.94;65.57;33.50
2020-12-16;Ouzbékistan;75538;612;72810;0.81;96.39;2.80
2020-12-16;Vatican;27;0;15;0.00;55.56;44.44
2020-12-16;St-Vincent / Grenadines;100;0;82;0.00;82.00;18.00
2020-12-16;Venezuela;108717;970;103492;0.89;95.19;3.91
2020-12-16;Vanuatu;1;0;1;0.00;100.00;0.00
2020-12-16;Viet Nam;1405;35;1252;2.49;89.11;8.40
2020-12-16;Samoa;2;0;2;0.00;100.00;0.00
2020-12-16;Kosovo;47499;1225;34956;2.58;73.59;23.83
2020-12-16;Yémen;2085;606;1384;29.06;66.38;4.56
2020-12-16;Mayotte;5616;53;2964;0.94;52.78;46.28
2020-12-16;Afrique du Sud;883687;23827;774585;2.70;87.65;9.65
2020-12-16;Zambie;18456;369;17635;2.00;95.55;2.45
2020-12-16;Zimbabwe;11749;313;9702;2.66;82.58;14.76
2020-12-16;Autres;721;15;706;2.08;97.92;0.00
2020-12-15;Autres;721;15;706;2.08;97.92;0.00
2020-12-15;Zimbabwe;11522;310;9599;2.69;83.31;14.00
2020-12-15;Zambie;18428;368;17487;2.00;94.89;3.11
2020-12-15;Afrique du Sud;873679;23661;764977;2.71;87.56;9.73
2020-12-15;Mayotte;5616;53;2964;0.94;52.78;46.28
2020-12-15;Yémen;2085;606;1384;29.06;66.38;4.56
2020-12-15;Kosovo;47203;1220;34637;2.58;73.38;24.04
2020-12-15;Samoa;2;0;2;0.00;100.00;0.00
2020-12-15;Viet Nam;1405;35;1252;2.49;89.11;8.40
2020-12-15;Vanuatu;1;0;1;0.00;100.00;0.00
2020-12-15;Venezuela;108480;965;103271;0.89;95.20;3.91
2020-12-15;St-Vincent / Grenadines;98;0;81;0.00;82.65;17.35
2020-12-15;Vatican;27;0;15;0.00;55.56;44.44
2020-12-15;Ouzbékistan;75241;612;72522;0.81;96.39;2.80
2020-12-15;Uruguay;10418;98;6895;0.94;66.18;32.88
2020-12-15;États-Unis;16725973;303761;0;1.82;0.00;98.18
2020-12-15;Ouganda;28168;225;10005;0.80;35.52;63.68
2020-12-15;Ukraine;934161;16038;542672;1.72;58.09;40.19
2020-12-15;Tanzanie;509;21;183;4.13;35.95;59.92
2020-12-15;Taïwan;742;7;611;0.94;82.35;16.71
2020-12-15;Trinité-et-Tobago;6900;123;6204;1.78;89.91;8.30
2020-12-15;Turquie;1898447;16881;1661191;0.89;87.50;11.61
2020-12-15;Tunisie;113241;3956;86801;3.49;76.65;19.85
2020-12-15;Timor-Leste;31;0;30;0.00;96.77;3.23
2020-12-15;Tadjikistan;12777;88;12212;0.69;95.58;3.73
2020-12-15;Thaïlande;4261;60;3977;1.41;93.33;5.26
2020-12-15;Togo;3295;66;2821;2.00;85.61;12.38
2020-12-15;Tchad;1784;102;1611;5.72;90.30;3.98
2020-12-15;Eswatini;6912;132;6476;1.91;93.69;4.40
2020-12-15;Syrie;9452;543;4494;5.74;47.55;46.71
2020-12-15;El Salvador;42132;1212;38260;2.88;90.81;6.31
2020-12-15;Sao Tomé-et-Principe;1010;17;952;1.68;94.26;4.06
2020-12-15;Soudan du sud;3222;62;3043;1.92;94.44;3.63
2020-12-15;Suriname;5381;117;5231;2.17;97.21;0.61
2020-12-15;Somalie;4579;121;3529;2.64;77.07;20.29
2020-12-15;Sénégal;17216;350;16243;2.03;94.35;3.62
2020-12-15;Saint-Marin;1982;52;1685;2.62;85.02;12.36
2020-12-15;Sierra Leone;2451;75;1853;3.06;75.60;21.34
2020-12-15;Slovaquie;135523;1251;100303;0.92;74.01;25.07
2020-12-15;Slovénie;98281;2149;75017;2.19;76.33;21.48
2020-12-15;Singapour;58341;29;58233;0.05;99.81;0.14
2020-12-15;Suède;341029;7667;0;2.25;0.00;97.75
2020-12-15;Soudan;21864;1372;12667;6.28;57.94;35.79
2020-12-15;Seychelles;202;0;184;0.00;91.09;8.91
2020-12-15;Îles Salomon;17;0;5;0.00;29.41;70.59
2020-12-15;Arabie Saoudite;360155;6069;350993;1.69;97.46;0.86
2020-12-15;Rwanda;6832;57;6036;0.83;88.35;10.82
2020-12-15;Russie;2682866;47410;2129806;1.77;79.39;18.85
2020-12-15;Serbie;277248;2433;0;0.88;0.00;99.12
2020-12-15;Roumanie;565758;13698;465050;2.42;82.20;15.38
2020-12-15;Réunion;8534;42;8037;0.49;94.18;5.33
2020-12-15;Qatar;141272;241;138919;0.17;98.33;1.49
2020-12-15;Paraguay;95353;1991;67953;2.09;71.26;26.65
2020-12-15;Portugal;353576;5733;280038;1.62;79.20;19.18
2020-12-15;Palestine;113409;1023;88967;0.90;78.45;20.65
2020-12-15;Pologne;1147446;23309;879748;2.03;76.67;21.30
2020-12-15;Pakistan;445977;9010;388598;2.02;87.13;10.85
2020-12-15;Philippines;451839;8812;418867;1.95;92.70;5.35
2020-12-15;Papouasie-Nouvelle-Guinée;729;8;601;1.10;82.44;16.46
2020-12-15;Polynésie Française;15870;97;4842;0.61;30.51;68.88
2020-12-15;Pérou;986130;36754;920306;3.73;93.33;2.95
2020-12-15;Panama;196987;3411;164855;1.73;83.69;14.58
2020-12-15;Oman;126719;1475;118505;1.16;93.52;5.32
2020-12-15;Nouvelle-Zélande;2100;25;2032;1.19;96.76;2.05
2020-12-15;Népal;250180;1730;238569;0.69;95.36;3.95
2020-12-15;Norvège;41852;395;17998;0.94;43.00;56.05
2020-12-15;Pays-Bas;638801;10254;8077;1.61;1.26;97.13
2020-12-15;Nicaragua;5887;162;4225;2.75;71.77;25.48
2020-12-15;Nigéria;74132;1200;66494;1.62;89.70;8.68
2020-12-15;Niger;2361;82;1329;3.47;56.29;40.24
2020-12-15;Nouvelle-Calédonie;36;0;35;0.00;97.22;2.78
2020-12-15;Namibie;16913;164;14981;0.97;88.58;10.45
2020-12-15;Mozambique;17042;144;15117;0.84;88.70;10.45
2020-12-15;Malaisie;86618;422;71681;0.49;82.76;16.76
2020-12-15;Mexique;1267202;115099;938089;9.08;74.03;16.89
2020-12-15;Malawi;6080;187;5659;3.08;93.08;3.85
2020-12-15;Maldives;13392;48;12760;0.36;95.28;4.36
2020-12-15;Maurice;524;10;489;1.91;93.32;4.77
2020-12-15;Malte;11303;177;9420;1.57;83.34;15.09
2020-12-15;Mauritanie;11431;236;8248;2.06;72.15;25.78
2020-12-15;Martinique;5601;42;98;0.75;1.75;97.50
2020-12-15;Macao;46;0;46;0.00;100.00;0.00
2020-12-15;Mongolie;918;0;384;0.00;41.83;58.17
2020-12-15;Birmanie;110667;2319;89418;2.10;80.80;17.11
2020-12-15;Mali;5878;205;3697;3.49;62.90;33.62
2020-12-15;Macédoine;74732;2169;50852;2.90;68.05;29.05
2020-12-15;Îles Marshall;4;0;4;0.00;100.00;0.00
2020-12-15;Madagascar;17587;259;16992;1.47;96.62;1.91
2020-12-15;Saint Martin;801;12;675;1.50;84.27;14.23
2020-12-15;Montenegro;42148;597;32097;1.42;76.15;22.43
2020-12-15;Moldavie;128656;2625;111314;2.04;86.52;11.44
2020-12-15;Monaco;678;3;609;0.44;89.82;9.73
2020-12-15;Maroc;403619;6711;362911;1.66;89.91;8.42
2020-12-15;Libye;92017;1319;62144;1.43;67.54;31.03
2020-12-15;Lettonie;26472;357;17477;1.35;66.02;32.63
2020-12-15;Luxembourg;42250;418;33486;0.99;79.26;19.75
2020-12-15;Lituanie;96452;863;41665;0.89;43.20;55.91
2020-12-15;Lesotho;2307;44;1398;1.91;60.60;37.49
2020-12-15;Libéria;1676;83;1358;4.95;81.03;14.02
2020-12-15;Sri Lanka;34121;154;24867;0.45;72.88;26.67
2020-12-15;Liechtenstein;1579;21;1366;1.33;86.51;12.16
2020-12-15;Sainte-Lucie;278;4;240;1.44;86.33;12.23
2020-12-15;Liban;148877;1223;104207;0.82;70.00;29.18
2020-12-15;Laos;41;0;34;0.00;82.93;17.07
2020-12-15;Kazakhstan;187890;2613;159985;1.39;85.15;13.46
2020-12-15;Koweït;146710;913;142599;0.62;97.20;2.18
2020-12-15;Corée du Sud;45442;612;32947;1.35;72.50;26.15
2020-12-15;Saint-Kitts-et-Nevis;28;0;23;0.00;82.14;17.86
2020-12-15;Comores;633;7;606;1.11;95.73;3.16
2020-12-15;Cambodge;362;0;319;0.00;88.12;11.88
2020-12-15;Kirghizistan;78151;1317;71270;1.69;91.20;7.12
2020-12-15;Kenya;92459;1604;73979;1.73;80.01;18.25
2020-12-15;Japon;184752;2581;153363;1.40;83.01;15.59
2020-12-15;Jordanie;265024;3437;226245;1.30;85.37;13.34
2020-12-15;Jamaïque;11875;276;8212;2.32;69.15;28.52
2020-12-15;Italie;1870576;65857;1141406;3.52;61.02;35.46
2020-12-15;Islande;5571;28;5401;0.50;96.95;2.55
2020-12-15;Iran;1123474;52670;833276;4.69;74.17;21.14
2020-12-15;Iraq;577363;12614;511639;2.18;88.62;9.20
2020-12-15;Inde;9932547;144096;9456449;1.45;95.21;3.34
2020-12-15;Israël;360630;3014;338784;0.84;93.94;5.22
2020-12-15;Irlande;76776;2134;23364;2.78;30.43;66.79
2020-12-15;Indonésie;629429;19111;516656;3.04;82.08;14.88
2020-12-15;Hongrie;285763;7237;83115;2.53;29.09;68.38
2020-12-15;Haïti;9597;234;8280;2.44;86.28;11.28
2020-12-15;Croatie;179718;2778;155079;1.55;86.29;12.16
2020-12-15;Honduras;114943;3001;52392;2.61;45.58;51.81
2020-12-15;Hong-Kong;7721;123;6345;1.59;82.18;16.23
2020-12-15;Guyana;5973;156;5144;2.61;86.12;11.27
2020-12-15;Guinée-Bissau;2447;44;2378;1.80;97.18;1.02
2020-12-15;Guatemala;130082;4476;118793;3.44;91.32;5.24
2020-12-15;Grèce;126372;3785;23074;3.00;18.26;78.75
2020-12-15;Guinée Équatoriale;5195;85;5061;1.64;97.42;0.94
2020-12-15;Guadeloupe;8498;152;2242;1.79;26.38;71.83
2020-12-15;Guinée;13457;80;12713;0.59;94.47;4.93
2020-12-15;Gambie;3785;123;3653;3.25;96.51;0.24
2020-12-15;Gibraltar;1104;6;1040;0.54;94.20;5.25
2020-12-15;Ghana;53270;327;51965;0.61;97.55;1.84
